ID товара;Остаток
47292;29
47296;177
42073;66
42070;135
42072;29
42074;103
42075;0
42071;172
41104;33
41105;70
41106;107
44867;124
44866;87
44864;13
526583;16
19937;34
41119;48
41120;85
41122;159
41123;16
41124;53
41125;90
41126;127
41127;164
41128;21
41129;58
41130;0
41131;132
41145;110
41146;147
41147;184
41148;0
41149;78
41150;115
41151;152
41152;9
41153;46
41154;83
41156;157
41133;26
41134;63
41135;100
44917;174
44918;31
41137;174
41138;31
41139;0
41140;105
41141;142
41142;179
49534;183
49532;109
49535;40
49537;114
517887;0
517557;134
517558;171
23066;67
20753;166
514147;144
522839;88
522843;56
522841;162
522840;125
522849;98
522848;61
50994;0
522847;24
50995;60
49538;151
49539;8
44913;26
44914;63
41143;36
41144;73
44915;100
44916;137
44911;132
44930;115
44929;78
44928;0
44927;184
44926;147
37292;109
22908;161
18927;0
37291;72
36835;120
44925;110
44924;73
44921;142
44920;105
44938;51
44937;0
44892;0
44890;75
44891;112
44912;169
44933;46
44932;9
44931;152
41109;38
41110;75
41111;112
41112;0
20087;184
22006;87
54963;0
19115;40
20421;0
524233;6
524232;0
524231;112
524226;107
524228;181
524230;75
524222;139
524223;0
524225;70
521810;175
521823;116
521812;69
521819;148
521811;0
521820;0
521822;79
521816;37
521814;143
521815;180
521821;42
521818;111
521813;106
521817;74
29227;144
24568;21
34804;33
20064;53
34806;107
21056;37
21275;40
20977;174
22047;164
23047;84
523879;48
523880;85
523881;0
20979;0
19041;182
18979;48
18734;163
523630;15
21722;19
19742;19
58360;45
30369;98
20547;0
21523;36
24555;80
22525;30
19973;106
21967;84
24563;16
23570;175
21571;12
18974;43
21972;89
57086;67
22973;46
37487;124
44749;78
34612;129
22971;152
34609;18
24552;0
34610;55
34611;92
58133;106
23976;0
528999;128
18973;6
23519;88
23520;125
34613;166
24938;31
23970;35
34614;0
24970;135
34615;60
19603;96
23973;146
19611;0
18608;181
44629;138
44630;175
21969;0
20969;58
47813;46
22972;9
21971;52
37225;150
58125;170
58126;27
37223;76
48864;53
48865;90
48858;11
48866;127
48867;164
48859;48
48860;85
48861;0
48862;159
48863;16
48842;139
532956;17
48938;91
48941;22
48939;128
48940;165
48942;0
48943;96
529523;76
525472;129
529521;182
529524;0
529525;150
529520;145
30500;85
30501;0
36268;21
42057;0
36081;0
36083;16
36084;53
36085;90
36086;127
20960;85
23170;135
19175;100
22176;0
512228;61
20187;0
18153;0
25140;125
21060;0
22962;179
20066;127
19057;54
18053;166
38529;0
24558;11
22976;157
19540;105
19056;17
21057;74
20552;109
21058;111
18534;143
22969;78
24559;48
20973;26
21970;15
20065;90
23526;0
22054;63
56144;133
30372;29
56150;175
30458;151
38538;0
19978;111
22977;0
23060;25
22052;169
25144;93
23059;168
18977;154
22050;0
35925;110
35926;147
35923;36
35924;73
35927;184
35928;0
56448;0
56449;78
56450;115
56439;0
56445;110
56418;11
56419;48
56420;85
56421;0
56413;6
56414;43
56422;159
56465;130
56423;16
56425;90
56415;80
56416;117
56417;154
56438;31
56426;127
56466;0
56431;132
56432;169
56429;58
56430;0
19134;0
19135;60
20975;100
43807;144
30421;42
30394;123
44948;61
44949;98
48788;121
48782;79
48783;116
48784;153
48786;47
48791;52
48789;0
48798;0
20974;63
48790;15
58309;138
24048;0
48797;94
45162;0
45164;133
48781;42
48780;0
48794;163
48796;57
48801;62
48792;89
48793;126
48799;168
48800;25
48787;84
45160;165
45161;22
21976;57
48802;99
48803;136
48804;173
515058;11
515057;154
515056;117
515055;80
515054;43
515053;6
526722;119
526723;156
526724;13
526725;0
529000;165
20958;11
19691;112
21679;48
20959;48
45616;117
25432;129
45615;80
25433;166
20611;132
18601;102
24625;150
22042;159
22041;0
22597;174
24624;0
20610;0
19692;0
20710;15
34795;60
18693;0
23664;53
20709;0
18694;123
55938;71
55939;108
521809;138
45005;10
45006;47
45007;84
37230;155
37231;12
37232;49
37233;0
37234;123
44968;81
44969;118
44970;155
44971;12
44972;49
44973;0
44974;123
44975;160
19961;22
22949;58
49009;18
49024;33
49010;55
49025;70
49011;92
49026;107
49012;129
49027;144
49013;166
49028;181
49014;0
49029;38
49015;60
49030;75
49016;97
49031;112
49017;134
49032;0
49018;171
49033;6
49019;28
49034;43
49035;80
49020;65
49039;48
49021;102
49040;85
49041;0
49022;139
49042;159
49036;117
49038;11
49037;154
22171;72
21957;74
23163;56
20166;47
528190;75
18136;177
528191;112
30387;44
21167;184
18137;34
528192;0
23961;62
23152;9
20183;136
21153;26
20184;173
24959;88
23164;93
22154;163
37281;62
528194;43
24153;146
24142;99
18150;155
22156;57
37290;35
23165;130
20168;121
528196;117
22173;146
20169;0
19167;164
19154;43
22155;20
528197;154
19155;80
528198;11
19156;117
528199;48
24960;125
24144;173
528200;85
54973;6
54974;43
37342;159
37343;16
522774;0
37341;0
37346;127
37345;90
37333;6
37331;112
37332;0
37337;154
37336;117
37334;43
37335;80
522778;171
522777;134
37338;11
522775;60
37339;48
37267;84
37268;121
37269;0
37270;15
41159;88
41158;51
41162;19
41160;125
41161;162
41164;93
41163;56
41165;130
20967;164
21577;54
23612;109
24650;175
21968;121
20968;21
22625;130
24651;0
18633;26
18634;63
23613;146
23969;178
21623;136
23615;40
21624;173
18636;137
24652;69
24653;106
23616;0
19963;96
531413;166
531414;0
515705;10
531419;28
22955;100
531415;60
531416;97
18963;0
34083;0
47844;0
34085;70
48896;157
48890;115
48898;51
48899;88
48891;152
48900;125
48892;9
48893;46
48894;83
48895;120
532483;156
532958;91
532484;13
532486;87
532487;124
532488;161
48882;179
24663;116
21631;72
21964;153
20667;44
32176;177
24665;10
20963;16
18645;110
20668;81
18644;73
21630;35
24664;153
38817;0
39187;24
39189;98
39188;61
39191;172
39190;135
39193;66
39194;103
39192;29
39203;76
39204;0
39196;177
39197;34
39195;0
39199;108
39200;145
39201;182
39202;39
45064;33
45066;107
45065;70
45068;181
45067;144
45070;75
45069;38
45075;80
45076;117
45071;112
45072;0
45073;6
45074;43
48833;166
48837;134
48838;171
48839;28
48840;65
48841;102
48836;97
48835;60
48834;0
48820;45
48821;82
48822;119
48823;156
48824;13
48825;0
48826;87
48827;124
48829;18
48830;55
48831;92
48832;129
48947;64
48948;101
48949;138
48950;175
48952;69
48953;106
48954;143
41848;21
41849;58
41850;0
41851;132
41852;169
41853;26
41854;63
41799;8
41798;151
37417;54
37374;83
37375;120
37377;0
37378;51
37380;125
37373;46
37452;89
37392;29
37444;153
37446;47
37448;121
37449;0
37450;15
37441;42
37439;148
37438;111
37411;12
37413;0
37397;34
37398;71
37399;108
37400;145
37396;177
37435;180
37431;0
37432;69
37433;106
37443;116
37442;79
37381;162
37383;56
37382;19
37372;9
37362;179
37363;36
37367;184
37364;73
37365;110
37366;147
37360;105
37425;170
37361;142
37393;66
37386;0
37394;103
37395;0
37390;135
37391;172
37428;101
37430;175
37427;64
37407;44
37405;150
37406;7
37408;81
37402;39
37403;76
37404;0
37410;155
37424;133
37387;24
37388;61
37389;98
37457;94
37456;57
37354;63
37353;26
37351;132
37347;164
37348;21
37349;58
37358;31
37355;100
37356;137
37357;174
37359;0
37415;160
37416;17
29416;117
24973;66
18064;33
22073;46
24064;93
19073;106
24992;49
24991;12
23730;155
22071;152
21072;89
22752;0
22979;88
24065;130
21979;168
22074;83
21073;126
24066;0
24977;34
22070;115
23732;49
30413;106
24828;101
21973;126
18811;132
22802;19
18813;26
18814;63
20825;130
19976;37
58038;11
25143;56
20826;0
20827;24
23786;67
20829;98
22804;93
24972;29
38634;83
25442;139
25443;0
25439;28
25441;102
25446;107
25447;144
20972;169
21800;25
23784;173
20822;19
18810;0
25444;33
25445;70
22800;125
20823;56
24827;64
25449;38
25450;75
19801;42
25452;0
34793;166
34791;92
34789;18
34792;129
30407;64
34794;0
56145;170
56151;0
18816;137
44792;49
21802;99
25454;43
22805;130
25456;117
515029;18
18111;152
22526;67
23518;51
19129;18
20137;54
25006;27
37273;126
37272;89
37240;165
37241;22
44965;150
44967;44
39214;123
37472;109
37471;72
37474;183
37473;146
44962;39
37466;67
44398;51
37467;0
44397;0
37465;30
44957;34
44958;71
44959;108
37468;141
30506;127
37286;67
37287;0
37288;141
24656;37
50052;89
19632;89
20658;71
21627;0
50056;57
50053;126
50054;163
50055;20
39213;0
50058;0
50059;168
50066;67
50065;30
19766;7
20165;10
21738;71
34695;0
30809;178
22750;75
21739;108
20774;43
31056;137
30562;39
34328;61
34326;0
34327;24
34329;98
34333;66
34334;103
22946;127
34345;150
